03-20 18:36:55.394 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.6ms  P1a=4.2  GPU=2.8  copy=1.0  P3=13.8  P4(GPU)=3.0
03-20 18:36:56.591 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=24.3ms  P1a=3.2  GPU=2.7  copy=0.8  P3=13.4  P4(GPU)=2.5
03-20 18:36:57.793 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=26.6ms  P1a=3.4  GPU=2.7  copy=1.0  P3=14.7  P4(GPU)=2.6
03-20 18:36:58.996 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=29.6ms  P1a=4.7  GPU=2.8  copy=1.1  P3=15.3  P4(GPU)=2.9
03-20 18:37:00.196 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=29.7ms  P1a=4.2  GPU=2.7  copy=1.1  P3=15.9  P4(GPU)=3.1
03-20 18:37:01.489 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=28.8ms  P1a=4.2  GPU=2.8  copy=1.2  P3=15.2  P4(GPU)=2.7
03-20 18:37:02.686 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=26.3ms  P1a=3.9  GPU=2.7  copy=1.0  P3=13.2  P4(GPU)=2.7
03-20 18:37:03.886 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=26.8ms  P1a=4.0  GPU=2.9  copy=1.1  P3=13.4  P4(GPU)=3.0
03-20 18:37:05.087 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.4ms  P1a=4.0  GPU=2.8  copy=1.2  P3=13.9  P4(GPU)=2.7
03-20 18:37:06.287 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.5ms  P1a=3.9  GPU=2.9  copy=1.1  P3=13.9  P4(GPU)=2.7
03-20 18:37:07.486 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=26.7ms  P1a=3.6  GPU=2.9  copy=1.1  P3=13.5  P4(GPU)=2.8
03-20 18:37:08.689 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=29.6ms  P1a=4.8  GPU=2.8  copy=1.1  P3=15.2  P4(GPU)=2.8
03-20 18:37:09.887 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.3ms  P1a=3.4  GPU=2.7  copy=1.0  P3=15.0  P4(GPU)=2.8
03-20 18:37:11.088 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=28.3ms  P1a=4.3  GPU=2.8  copy=1.1  P3=14.6  P4(GPU)=2.7
03-20 18:37:12.289 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=28.9ms  P1a=4.1  GPU=2.8  copy=1.0  P3=15.1  P4(GPU)=3.0
03-20 18:37:13.581 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.2ms  P1a=3.5  GPU=2.8  copy=1.1  P3=14.2  P4(GPU)=2.6
03-20 18:37:14.781 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=26.8ms  P1a=3.5  GPU=2.8  copy=1.1  P3=13.9  P4(GPU)=2.7
03-20 18:37:15.982 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.5ms  P1a=3.8  GPU=2.8  copy=1.1  P3=13.9  P4(GPU)=2.8
03-20 18:37:17.182 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=27.0ms  P1a=3.6  GPU=2.9  copy=1.1  P3=13.6  P4(GPU)=2.7
03-20 18:37:18.381 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=26.3ms  P1a=3.6  GPU=2.8  copy=1.1  P3=13.2  P4(GPU)=2.6
03-20 18:37:19.583 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=28.1ms  P1a=3.3  GPU=2.9  copy=1.1  P3=15.2  P4(GPU)=2.8
03-20 18:37:20.783 V/mpv     (32383): [anvil:info] ANVIL[GPU/Q/async]: total=28.1ms  P1a=3.5  GPU=2.9  copy=1.1  P3=15.1  P4(GPU)=2.8
